"","Item_ID","Sentence","HaveNeedTo","Finite","ModalPresent","QuestionType","DegreeQ","SubjectAuxInv","WhAll","MatrixNegPresent","EmbeddedNegPresent","QuantifiedSubject","QuantifiedPredicate","Wh","MatrixNegation","MatrixDoSupport","MatrixPred1","MatrixPred2","MatVerbPart","Modal","EmbeddedNegation","Verb1","Verb2","Verb3","DeterminerSubject","DeterminerNonSubject","FullWhPhrase","DeterminerSubjPresent","DeterminerNonSubjPresent","WhNode","WhParse","Question","SentenceParse","WhPhaseType","IdentityQ"
"61","59176:18","and they can't imagine why we would want *-1 to have children *t*-2.","yes","","yes","embedded","no","","","yes","","","","why","n't","","imagine","","","would","","want","have","","","","","no","no",NA,"(WRB why)","why we would want *-1 to have children *t*-2","(TOP (S (CC And) (NP-SBJ (PRP they)) (VP (MD ca) (RB n't) (VP (VB imagine) (SBAR (WHADVP-2 (WRB why)) (S (NP-SBJ-1 (PRP we)) (VP (MD would) (VP (VB want) (S (NP-SBJ (-NONE- *-1)) (VP (TO to) (VP (VB have) (NP (NNS children))))) (ADVP-PRP (-NONE- *T*-2)))))))) (. .) (-DFL- E_S)))","monomorphemic","no"
"62","59254:13","and i saw how life was *t*-2 when she stayed home *t*-1","no","yes","no","embedded","no","","","","","","","how","","","saw","","","","","was","stayed","","","","","no","no",NA,"(WRB how)","how life was *t*-2 when she stayed home *t*-1","(TOP (S (CC and) (NP-SBJ (PRP I)) (VP (VBD saw) (SBAR (WHADVP-2 (WRB how)) (S (NP-SBJ (NN life)) (VP (VBD was) (ADVP-PRD (-NONE- *T*-2)) (SBAR-TMP (WHADVP-1 (WRB when)) (S (NP-SBJ (PRP she)) (VP (VBD stayed) (ADVP-LOC (NN home)) (ADVP-TMP (-NONE- *T*-1))))))))) (-DFL- E_S)))","monomorphemic","no"
"63","59308:35","i don't know if it is *?* up there where you are *t*-1","no","yes","no","embadjunct","no","","","yes","","","","where","n't","do","is","","","","","are","","","","","","no","no",NA,"(WRB where)","where you are *t*-1","(TOP (S (NP-SBJ (PRP I)) (VP (VBP do) (RB n't) (VP (VB know) (SBAR (IN if) (S (NP-SBJ (PRP it)) (VP (VBZ is) (ADJP-PRD (-NONE- *?*)) (PP-LOC (IN up) (ADVP (RB there))) (SBAR-LOC (WHADVP-1 (WRB where)) (S (NP-SBJ (PRP you)) (VP (VBP are) (ADVP-LOC-PRD (-NONE- *T*-1)))))))))) (-DFL- E_S)))","monomorphemic","yes"
"64","60083:39","i think 0 we had fish sh-, when i was a kid *t*-1","no","yes","no","embadjunct","no","","","","","","","when","","","had","","","","","was","","","","a kid","","no","no",NA,"(WRB when)","when i was a kid *t*-1","(TOP (S (NP-SBJ (PRP I)) (VP (VBP think) (SBAR (-NONE- 0) (S (NP-SBJ (PRP we)) (VP (VBD had) (NP (NN fish)) (EDITED (RM (-DFL- \[)) (X (XX sh-)) (, ,) (IP (-DFL- \+)) (RS (-DFL- \]))) (SBAR-TMP (WHADVP-1 (WRB when)) (S (NP-SBJ (PRP I)) (VP (VBD was) (NP-PRD (DT a) (NN kid)) (ADVP-TMP (-NONE- *T*-1))))))))) (-DFL- E_S)))","monomorphemic","yes"
"65","60137:12","i forget what type of fish it was *t*-1,","no","yes","no","embedded","no","","","","","","","what","","","forget","","","","","was","","","","","","no","no",NA,"(WDT what)","what type of fish it was *t*-1","(TOP (S (NP-SBJ (PRP I)) (VP (VBP forget) (SBAR (WHNP-1 (WHNP (WDT what) (NN type)) (PP (IN of) (NP (NN fish)))) (S (NP-SBJ (PRP it)) (VP (VBD was) (NP-PRD (-NONE- *T*-1)))))) (, ,) (-DFL- E_S)))","complex","yes"
"66","60505:11","that's why i was in the deseg down here in plano also *t*-1.","no","yes","no","embedded","no","","","","","","","why","","","'s","","","","","was","here","also","","the deseg","","no","no",NA,"(WRB why)","why i was in the deseg down here in plano also *t*-1","(TOP (S (NP-SBJ (DT that)) (VP (BES 's) (SBAR-PRP-PRD (WHADVP-1 (WRB why)) (S (NP-SBJ (PRP I)) (VP (VBD was) (PP-PRD (IN in) (NP (DT the) (NNP Deseg))) (PP-LOC (IN down) (ADVP (RB here))) (PP-LOC (IN in) (NP (NNP Plano))) (ADVP (RB also)) (ADVP-PRP (-NONE- *T*-1)))))) (. .) (-DFL- E_S)))","monomorphemic","no"
"67","61500:11","that's why we couldn't understand why he would want *-2 to get out *t*-3, you know, because he's had all this room 0 * to run in *t*-1 *t*-4,","yes","","yes","embedded","no","","","yes","","","all","why","n't","","'s","","","could","","understand","want","get","","all this room 0 * to run in *t*-1","","no","no",NA,"(WRB why)","why we couldn't understand why he would want *-2 to get out *t*-3, you know, because he's had all this room 0 * to run in *t*-1 *t*-4","(TOP (S (NP-SBJ (DT That)) (VP (BES 's) (SBAR-PRP-PRD (WHADVP-4 (WRB why)) (S (NP-SBJ (PRP we)) (VP (MD could) (RB n't) (VP (VB understand) (SBAR (WHADVP-3 (WRB why)) (S (NP-SBJ-2 (PRP he)) (VP (MD would) (VP (VB want) (S (NP-SBJ (-NONE- *-2)) (VP (TO to) (VP (VB get) (ADVP (RB out))))) (ADVP-PRP (-NONE- *T*-3)))))) (PRN (, ,) (S (NP-SBJ (PRP you)) (VP (VBP know))) (, ,)) (SBAR-PRP (IN because) (S (NP-SBJ (PRP he)) (VP (HVS 's) (VP (VBN had) (NP (NP (PDT all) (DT this) (NN room)) (SBAR (WHNP-1 (-NONE- 0)) (S (NP-SBJ (-NONE- *)) (VP (TO to) (VP (VB run) (PP-LOC (RB in) (NP (-NONE- *T*-1)))))))))))) (ADVP-PRP (-NONE- *T*-4))))))) (, ,) (-DFL- E_S)))","monomorphemic","no"
"68","63445:173","so, but, uh. the big problem is not * having the, uh, the resolution between temperature, you know, between a hundred, if you're talking about a hundred degrees or what, thirty, zero, you know thirty four degrees, whatever that is *t*-1.","no","yes","no","adjunct","no","","","","","","","whatever","","","is","","","","","is","","","that","that","whatever","yes","no",NA,"(WP whatever)","whatever that is *t*-1","(TOP (S (EDITED (RM (-DFL- \[)) (RB So) (, ,) (IP (-DFL- \+))) (CC but) (, ,) (RS (-DFL- \])) (INTJ (UH uh)) (. .) (NP-SBJ (DT The) (JJ big) (NN problem)) (VP (VBZ is) (RB not) (S-PRD (NP-SBJ (-NONE- *)) (VP (VBG having) (EDITED (RM (-DFL- \[)) (NP-UNF (DT the)) (, ,) (IP (-DFL- \+))) (INTJ (UH uh)) (, ,) (NP (NP (DT the) (RS (-DFL- \])) (NN resolution)) (EDITED (RM (-DFL- \[)) (PP (IN between) (NP (NN temperature))) (, ,) (IP (-DFL- \+))) (PRN (S (NP-SBJ (PRP you)) (VP (VBP know))) (, ,)) (PP (IN between) (NP (NP (QP (DT a) (CD hundred))) (, ,) (RS (-DFL- \])) (PRN (SBAR-ADV (IN if) (S (NP-SBJ (PRP you)) (VP (VBP 're) (VP (VBG talking) (PP (IN about) (NP (QP (DT a) (CD hundred)) (NNS degrees)))))))) (CC or) (NP (WP what)) (, ,) (NP (CD thirty)) (, ,) (NP (CD zero)) (PRN (, ,) (S (NP-SBJ (PRP you)) (VP (VBP know)))) (NP (QP (CD thirty) (CD four)) (NNS degrees)) (, ,) (SBAR-NOM (WHNP-1 (WP whatever)) (S (NP-SBJ (DT that)) (VP (VBZ is) (NP-PRD (-NONE- *T*-1))))))))))) (. .) (-DFL- E_S)))","monomorphemic","yes"
"69","63740:135","i, i wonder about some of the prod-, products that they don't take *t*-1, like some of the plastics and things that they don't take *t*-2. uh, why, why they couldn't do more recycling with those *t*-3.","no","","yes","embedded","no","","","yes","","","more","why","n't","do","wonder","","","could","","do","more","","","those","","no","no",NA,"(WRB why)","why, why they couldn't do more recycling with those *t*-3","(TOP (S (EDITED (RM (-DFL- \[)) (NP-SBJ (PRP I)) (, ,) (IP (-DFL- \+))) (NP-SBJ (PRP I)) (RS (-DFL- \])) (VP (VBP wonder) (PP (IN about) (NP (NP (DT some)) (PP (IN of) (NP (NP (DT the) (EDITED (RM (-DFL- \[)) (NNS prod-) (, ,) (IP (-DFL- \+))) (NNS products) (RS (-DFL- \]))) (SBAR (WHNP-1 (WDT that)) (S (NP-SBJ (PRP they)) (VP (VBP do) (RB n't) (VP (VB take) (NP (-NONE- *T*-1)))))) (, ,) (PP (IN like) (NP (NP (DT some)) (PP (IN of) (NP (NP (DT the) (NNS plastics) (CC and) (NNS things)) (SBAR (WHNP-2 (WDT that)) (S (NP-SBJ (PRP they)) (VP (VBP do) (RB n't) (VP (VB take) (NP (-NONE- *T*-2)))))))))))))) (. .) (INTJ (UH Uh)) (, ,) (SBAR (EDITED (RM (-DFL- \[)) (WHADVP (WRB why)) (, ,) (IP (-DFL- \+))) (WHADVP-3 (WRB why)) (RS (-DFL- \])) (S (NP-SBJ (PRP they)) (VP (MD could) (RB n't) (VP (VB do) (NP (JJR more) (NN recycling)) (PP (IN with) (NP (DT those))) (ADVP-PRP (-NONE- *T*-3))))))) (. .) (-DFL- E_S)))","monomorphemic","no"
"70","64073:5","when it rains *t*-1, it rains.","no","yes","no","embadjunct","no","","","","","","","when","","","","","","","","rains","","","","","","no","",NA,"(WRB when)","when it rains *t*-1","(TOP (S (SBAR-TMP (WHADVP-1 (WRB when)) (S (NP-SBJ (PRP it)) (VP (VBZ rains) (ADVP-TMP (-NONE- *T*-1))))) (, ,) (NP-SBJ (PRP it)) (VP (VBZ rains)) (. .) (-DFL- E_S)))","monomorphemic","no"
"71","64510:10","uh, whatsever *t*-1's on the radio is, is usually okay with me,","no","yes","no","adjunct","no","","","","","","","whatsever","","","","","","","","'s","","","","the radio","","no","yes",NA,"(WP whatsever)","whatsever *t*-1's on the radio","(TOP (S (INTJ (UH Uh)) (, ,) (SBAR-NOM-SBJ (WHNP-1 (WP whatsever)) (S (NP-SBJ (-NONE- *T*-1)) (VP (BES 's) (PP-PRD (IN on) (NP (DT the) (NN radio)))))) (EDITED (RM (-DFL- \[)) (VP-UNF (VBZ is)) (, ,) (IP (-DFL- \+))) (VP (VBZ is) (RS (-DFL- \])) (ADVP-TMP (RB usually)) (ADJP-PRD (JJ okay) (PP (IN with) (NP (PRP me))))) (, ,) (-DFL- E_S)))","monomorphemic",""
"72","66529:16","you, never know when they're going *-1 to turn or hurt the next person *t*-2 because it *exp*-3 doesn't really matter to them whether someone else gets hurt *-4 or not.","no","yes","no","embedded","no","","","yes","","","","when","n't","","know","","","","","'re","going","turn","","the next person","","no","no",NA,"(WRB when)","when they're going *-1 to turn or hurt the next person *t*-2","(TOP (S (NP-SBJ (PRP you)) (, ,) (ADVP-TMP (RB never)) (VP (VBP know) (SBAR (WHADVP-2 (WRB when)) (S (NP-SBJ-1 (PRP they)) (VP (VBP 're) (VP (VBG going) (S (NP-SBJ (-NONE- *-1)) (VP (TO to) (VP (VP (VB turn)) (CC or) (VP (VB hurt) (NP (DT the) (JJ next) (NN person)))))) (ADVP-TMP (-NONE- *T*-2)))))) (SBAR-PRP (IN because) (S (NP-SBJ (NP (PRP it)) (SBAR (-NONE- *EXP*-3))) (VP (VBZ does) (RB n't) (ADVP (RB really)) (VP (VB matter) (PP (IN to) (NP (PRP them))) (SBAR-3 (IN whether) (S (NP-SBJ-4 (NP (NN someone)) (ADVP (RB else))) (VP (VP (VBZ gets) (VP (VBN hurt) (NP (-NONE- *-4)))) (CC or) (FRAG (RB not)))))))))) (. .) (-DFL- E_S)))","monomorphemic","no"
"73","68052:82","now, my, my, my wife, my ex-wife, she quit, uh, well, when she was pregnant with the last one *t*-1","no","yes","no","embadjunct","no","","","","","","one","when","","","quit","","","","","was","pregnant","last","","the last one","","no","no",NA,"(WRB when)","when she was pregnant with the last one *t*-1","(TOP (S (INTJ (RB Now)) (, ,) (EDITED (RM (-DFL- \[)) (EDITED (RM (-DFL- \[)) (EDITED (RM (-DFL- \[)) (NP-TPC-UNF (PRP$ my)) (, ,) (IP (-DFL- \+))) (NP-TPC-UNF (PRP$ my)) (, ,) (RS (-DFL- \])) (IP (-DFL- \+))) (NP-TPC (PRP$ my) (NN wife)) (, ,) (RS (-DFL- \])) (IP (-DFL- \+))) (NP-TPC (PRP$ my) (NN ex-wife)) (, ,) (RS (-DFL- \])) (NP-SBJ (PRP she)) (VP (VBD quit) (, ,) (INTJ (UH uh)) (, ,) (INTJ (UH well)) (, ,) (SBAR-TMP (WHADVP-1 (WRB when)) (S (NP-SBJ (PRP she)) (VP (VBD was) (ADJP-PRD (JJ pregnant) (PP (IN with) (NP (DT the) (JJ last) (CD one)))) (ADVP-TMP (-NONE- *T*-1)))))) (-DFL- E_S)))","monomorphemic","no"
"74","71768:54","i mean, they, they, they really know how *-2 to isolate each of the different muscle groups, with those things *t*-1","no","no","no","embedded","no","","","","","","","how","","","know","","","","","isolate","different","","","each of the different muscle groups","","no","no",NA,"(WRB how)","how *-2 to isolate each of the different muscle groups, with those things *t*-1","(TOP (S (PRN (S (NP-SBJ (PRP I)) (VP (VBP mean))) (, ,)) (EDITED (RM (-DFL- \[)) (EDITED (RM (-DFL- \[)) (NP-SBJ (PRP they)) (, ,) (IP (-DFL- \+))) (NP-SBJ (PRP they)) (, ,) (RS (-DFL- \])) (IP (-DFL- \+))) (NP-SBJ-2 (PRP they)) (RS (-DFL- \])) (ADVP (RB really)) (VP (VBP know) (SBAR (WHADVP-1 (WRB how)) (S (NP-SBJ (-NONE- *-2)) (VP (TO to) (VP (VB isolate) (NP (NP (DT each)) (PP (IN of) (NP (DT the) (JJ different) (NN muscle) (NNS groups)))) (, ,) (PP (IN with) (NP (DT those) (NNS things))) (ADVP-MNR (-NONE- *T*-1))))))) (-DFL- E_S)))","monomorphemic","no"
"75","72086:35","and back in those times we pretty much were taught *-1 how * to be responsible *t*-2.","no","no","no","embedded","no","","","","","","","how","","","taught","","","","","be","responsible","","","","","no","no",NA,"(WRB how)","how * to be responsible *t*-2","(TOP (S (CC and) (PP-TMP (ADVP (RB back)) (IN in) (NP (DT those) (NNS times))) (NP-SBJ-1 (PRP we)) (ADVP (RB pretty) (RB much)) (VP (VBD were) (VP (VBN taught) (NP (-NONE- *-1)) (SBAR (WHADVP-2 (WRB how)) (S (NP-SBJ (-NONE- *)) (VP (TO to) (VP (VB be) (ADJP-PRD (JJ responsible)) (ADVP-MNR (-NONE- *T*-2)))))))) (. .) (-DFL- E_S)))","monomorphemic","no"
"76","74389:92","and then the states that *t*-2 either don't adopt on a state wide basis or don't have as many kids, just have *-3 to follow along and take what texas gets *t*-1.","no","yes","no","embedded","no","","","","","","","what","","do","take","","","","","gets","","","","","","no","no",NA,"(WP what)","what texas gets *t*-1","(TOP (S (CONJP (CC And) (RB then)) (NP-SBJ-3 (NP (DT the) (NNS states)) (SBAR (WHNP-2 (WDT that)) (S (NP-SBJ (-NONE- *T*-2)) (VP (CC either) (VP (VBP do) (RB n't) (VP (VB adopt) (PP (IN on) (NP (DT a) (NN state) (RB wide) (NN basis))))) (CC or) (VP (VBP do) (RB n't) (VP (VB have) (NP (ADJP (IN as) (JJ many)) (NNS kids)))))))) (, ,) (ADVP (RB just)) (VP (VB have) (S (NP-SBJ (-NONE- *-3)) (VP (TO to) (VP (VP (VB follow) (ADVP (IN along))) (CC and) (VP (VB take) (SBAR-NOM (WHNP-1 (WP what)) (S (NP-SBJ (NNP Texas)) (VP (VBZ gets) (NP (-NONE- *T*-1)))))))))) (. .) (-DFL- E_S)))","monomorphemic","no"
"77","75641:22","i think, uh, 0 what i would like *-1 to see *t*-2 is, number one, * completely getting rid *-3 of these victimless crimes.","no","","yes","subject","no","","","","","","","what","","","think","","","would","","like","see","","","","","no","no",NA,"(WP what)","what i would like *-1 to see *t*-2","(TOP (S (NP-SBJ (PRP I)) (VP (VBP think) (, ,) (INTJ (UH uh)) (, ,) (SBAR (-NONE- 0) (S (SBAR-NOM-SBJ (WHNP-2 (WP what)) (S (NP-SBJ-1 (PRP I)) (VP (MD would) (VP (VB like) (S (NP-SBJ (-NONE- *-1)) (VP (TO to) (VP (VB see) (NP (-NONE- *T*-2))))))))) (VP (VBZ is) (, ,) (S-PRD (NP-ADV (NN number) (CD one)) (, ,) (NP-SBJ-3 (-NONE- *)) (ADVP (RB completely)) (VP (VBG getting) (VP (VBN rid) (NP (-NONE- *-3)) (PP (IN of) (NP (DT these) (JJ victimless) (NNS crimes)))))))))) (. .)))","monomorphemic","no"
"78","76952:79","what do you think 0 *t*-1 are some current trends in, uh, the way 0 families spend time together *t*-2, based on what you've seen *t*-3.","no","yes","no","embedded","no","","","","","","","what","","do","","","based","","","'ve","seen","","","","what","no","no",NA,"(WP what)","what you've seen *t*-3","(TOP (SBARQ (WHNP-1 (WP what)) (SQ (VBP do) (NP-SBJ (PRP you)) (VP (VB think) (SBAR (-NONE- 0) (S (NP-SBJ (-NONE- *T*-1)) (VP (VBP are) (NP-PRD (NP (DT some) (JJ current) (NNS trends)) (PP (IN in) (, ,) (INTJ (UH uh)) (, ,) (NP (NP (DT the) (NN way)) (SBAR (WHADVP-2 (-NONE- 0)) (S (NP-SBJ (NNS families)) (VP (VBP spend) (NP (NN time)) (ADVP (RB together)) (ADVP-MNR (-NONE- *T*-2))))))))))) (, ,) (PP (VBN based) (PP (IN on) (SBAR-NOM (WHNP-3 (WP what)) (S (NP-SBJ (PRP you)) (VP (VBP 've) (VP (VBN seen) (NP (-NONE- *T*-3)))))))))) (. .) (-DFL- E_S)))","monomorphemic","no"
"79","77036:20","at t i, is that where you work *t*-1?","no","yes","no","embadjunct","no","","","","","","","where","","","","","","","","work","","","","","","no","",NA,"(WRB where)","where you work *t*-1","(TOP (SQ (PP-LOC-TPC (IN At) (NP (NNP T) (NNP I))) (, ,) (VBZ is) (NP-SBJ (DT that)) (SBAR-LOC-PRD (WHADVP-1 (WRB where)) (S (NP-SBJ (PRP you)) (VP (VBP work) (ADVP-LOC (-NONE- *T*-1))))) (. ?) (-DFL- E_S)))","monomorphemic","no"
"80","79096:89","i'd like *-1 to know, for instance, when i, when they say, uh, plastic, all plastic *t*-4, what kind of plastic, can you put *t*-2 all together","no","","yes","embedded","no","yes","","","","","all","what","","","know","","","can","","say","all","together","","","","no","no",NA,"(WDT what)","when i, when they say, uh, plastic, all plastic *t*-4, what kind of plastic, can you put *t*-2 all together","(TOP (S (NP-SBJ-1 (PRP I)) (VP (MD 'd) (VP (VB like) (S (NP-SBJ (-NONE- *-1)) (VP (TO to) (VP (VB know) (, ,) (PP (IN for) (NP (NN instance))) (, ,) (SBARQ (SBAR-TMP (EDITED (RM (-DFL- \[)) (SBAR-TMP (WHADVP (WRB when)) (S-UNF (NP-SBJ (PRP I)))) (, ,) (IP (-DFL- \+))) (WHADVP-4 (WRB when)) (S (NP-SBJ (PRP they)) (RS (-DFL- \])) (VP (VBP say) (, ,) (INTJ (UH uh)) (, ,) (NP-SEZ (NP (NN plastic)) (, ,) (NP (RB all) (NN plastic))) (ADVP-TMP (-NONE- *T*-4))))) (, ,) (WHNP-2 (WHNP (WDT what) (NN kind)) (PP (IN of) (NP (NN plastic)))) (, ,) (SQ (MD can) (NP-SBJ (PRP you)) (VP (VB put) (NP (-NONE- *T*-2)) (ADVP (RB all) (RB together))))))))))))","complex","no"
"81","79932:19","and there's other times when i just get tired of it *t*-1","no","yes","no","relative","no","","","","","","","when","","","","","","","","get","tired","","","","when","no","no",NA,"(WRB when)","when i just get tired of it *t*-1","(TOP (S (CC and) (NP-SBJ (EX there)) (VP (BES 's) (NP-PRD (NP (JJ other) (NNS times)) (SBAR-TMP (WHADVP-1 (WRB when)) (S (NP-SBJ (PRP I)) (ADVP (RB just)) (VP (VBP get) (ADJP-PRD (JJ tired) (PP (IN of) (NP (PRP it)))) (ADVP-TMP (-NONE- *T*-1))))))) (-DFL- E_S)))","monomorphemic","no"
"82","80275:22","oh, i, when i did ride my friend's bike, that one time *t*-1, i had, uh, i don't know what i was trying *-2 to do *t*-3.","no","yes","no","embadjunct","no","","","","","","one","when","","","","","","","","did","ride","","","that one time","","no","no",NA,"(WRB when)","when i did ride my friend's bike, that one time *t*-1","(TOP (S (INTJ (UH Oh)) (, ,) (EDITED (RM (-DFL- \[)) (NP-SBJ (PRP I)) (, ,) (IP (-DFL- \+))) (SBAR-TMP (WHADVP-1 (WRB when)) (S (NP-SBJ (PRP I)) (RS (-DFL- \])) (VP (VBD did) (VP (VB ride) (NP (NP (PRP$ my) (NN friend) (POS 's)) (NN bike)) (, ,) (NP-TMP (DT that) (CD one) (NN time)) (ADVP-TMP (-NONE- *T*-1)))))) (, ,) (EDITED (RM (-DFL- \[)) (S (NP-SBJ (PRP I)) (VP-UNF (VBD had))) (, ,) (IP (-DFL- \+))) (INTJ (UH uh)) (, ,) (NP-SBJ (PRP I)) (VP (VBP do) (RB n't) (VP (VB know) (RS (-DFL- \])) (SBAR (WHNP-3 (WP what)) (S (NP-SBJ-2 (PRP I)) (VP (VBD was) (VP (VBG trying) (S (NP-SBJ (-NONE- *-2)) (VP (TO to) (VP (VB do) (NP (-NONE- *T*-3))))))))))) (. .) (-DFL- E_S)))","monomorphemic","yes"
"83","81664:42","and we have a belt line alo-, around raleigh where we're trying *-1 to divert traffic *t*-2.","no","yes","no","relative","no","","","","","","","where","","","","","","","","'re","trying","divert","","","where","no","no",NA,"(WRB where)","where we're trying *-1 to divert traffic *t*-2","(TOP (S (CC and) (NP-SBJ (PRP we)) (VP (VBP have) (NP (NP (DT a) (NN belt) (NN line)) (EDITED (RM (-DFL- \[)) (PP-UNF (XX alo-)) (, ,) (IP (-DFL- \+))) (PP-LOC (IN around) (RS (-DFL- \])) (NP (NNP Raleigh))) (SBAR-LOC (WHADVP-2 (WRB where)) (S (NP-SBJ-1 (PRP we)) (VP (VBP 're) (VP (VBG trying) (S (NP-SBJ (-NONE- *-1)) (VP (TO to) (VP (VB divert) (NP (NN traffic))))) (ADVP-LOC (-NONE- *T*-2)))))))) (. .) (-DFL- E_S)))","monomorphemic","no"
"84","82268:20","what do, what do you do *t*-1?","no","yes","no","root","no","yes","","","","","","what","","","","","","","","do","do","","","","","no","no",NA,"(WP what)","what do, what do you do *t*-1?","(TOP (SBARQ (EDITED (RM (-DFL- \[)) (SBARQ (WHNP (WP what)) (SQ-UNF (VBP do))) (, ,) (IP (-DFL- \+))) (WHNP-1 (WP what)) (SQ (VBP do) (RS (-DFL- \])) (NP-SBJ (PRP you)) (VP (VB do) (NP (-NONE- *T*-1)))) (. ?) (-DFL- E_S)))","monomorphemic","no"
"85","82779:111","but i do not think 0 it is difficult enough * to prevent people who *t*-1 are motivated in the first place, who, or, who *t*-2 are not just motivated who *t*-3 really believe that their, they, their voice is heard *-4.","no","yes","no","subject","no","","","","","","","who","","","difficult","","","","","believe","is","heard","","","who","no","no",NA,"(WP who)","who *t*-3 really believe that their, they, their voice is heard *-4","(TOP (S (CC But) (NP-SBJ (PRP I)) (VP (VBP do) (RB not) (VP (VB think) (SBAR (-NONE- 0) (S (NP-SBJ (PRP it)) (VP (VBZ is) (ADJP-PRD (JJ difficult) (RB enough) (S (NP-SBJ (-NONE- *)) (VP (TO to) (VP (VB prevent) (NP (NP (NNS people)) (SBAR (WHNP-1 (WP who)) (S (NP-SBJ (-NONE- *T*-1)) (VP (VBP are) (ADJP-PRD (JJ motivated) (PP (IN in) (NP (DT the) (JJ first) (NN place))))))) (, ,) (SBAR (EDITED (RM (-DFL- \[)) (WHNP (WP who)) (IP (-DFL- \+)) (, ,) (CC or) (, ,)) (WHNP-2 (WP who)) (RS (-DFL- \])) (S (NP-SBJ (-NONE- *T*-2)) (VP (VBP are) (RB not) (ADVP (RB just)) (ADJP-PRD (JJ motivated))))) (SBAR (WHNP-3 (WP who)) (S (NP-SBJ (-NONE- *T*-3)) (ADVP (RB really)) (VP (VBP believe) (SBAR (IN that) (S (EDITED (RM (-DFL- \[)) (EDITED (RM (-DFL- \[)) (NP-SBJ-UNF (PRP$ their)) (, ,) (IP (-DFL- \+))) (NP-SBJ (PRP they)) (, ,) (RS (-DFL- \])) (IP (-DFL- \+))) (NP-SBJ-4 (PRP$ their) (RS (-DFL- \])) (NN voice)) (VP (VBZ is) (VP (VBN heard) (NP (-NONE- *-4))))))))))))))))))) (. .) (-DFL- E_S)))","monomorphemic","no"
"86","82799:18","one of them is whose stars and stripes now?","no","yes","no","adjunct","no","","","","","","","whose","","","","","","","","","","","","","","","",NA,"(WDT WHOSE)","one of them is whose stars and stripes now?","(TOP (S (NP-SBJ (NP (CD one)) (PP (IN of) (NP (PRP them)))) (VP (VBZ is) (FRAG-TTL-PRD (WHNP (WDT WHOSE) (NNS STARS) (CC AND) (NNS STRIPES)) (ADVP-TMP (RB NOW)))) (. ?) (-DFL- E_S)))","complex","no"
"87","83254:116","but there, there definitely is, uh, uh, you know, to me the, one of the worst things that *t*-1 could ever happen, uh, from what i read and see and understand *t*-2.","no","yes","no","embedded","no","","","","","","","what","","","","","is","","","read","see","understand","","","what","no","no",NA,"(WP what)","what i read and see and understand *t*-2","(TOP (S (CC But) (EDITED (RM (-DFL- \[)) (NP-SBJ (EX there)) (, ,) (IP (-DFL- \+))) (NP-SBJ (EX there)) (RS (-DFL- \])) (ADVP (RB definitely)) (VP (VBZ is) (, ,) (INTJ (UH uh)) (, ,) (INTJ (UH uh)) (PRN (, ,) (S (NP-SBJ (PRP you)) (VP (VBP know))) (, ,)) (PP (IN to) (NP (PRP me))) (EDITED (RM (-DFL- \[)) (NP-UNF (DT the)) (, ,) (IP (-DFL- \+))) (NP-PRD (NP (CD one)) (PP (IN of) (NP (NP (DT the) (RS (-DFL- \])) (JJS worst) (NNS things)) (SBAR (WHNP-1 (WDT that)) (S (NP-SBJ (-NONE- *T*-1)) (VP (MD could) (ADVP-TMP (RB ever)) (VP (VB happen)))))))) (, ,) (INTJ (UH uh)) (, ,) (PP (IN from) (SBAR-NOM (WHNP-2 (WP what)) (S (NP-SBJ (PRP I)) (VP (VBP read) (CC and) (VBP see) (CC and) (VBP understand) (NP (-NONE- *T*-2))))))) (. .) (-DFL- E_S)))","monomorphemic","no"
"88","83882:4","what color is, is yours blooming *t*-1?","no","yes","no","root","no","yes","","","","","","what","","","","","","","","is","blooming","","","","","no","no",NA,"(WDT what)","what color is, is yours blooming *t*-1?","(TOP (SBARQ (WHNP-1 (WDT what) (NN color)) (EDITED (RM (-DFL- \[)) (SQ-UNF (VBZ is)) (, ,) (IP (-DFL- \+))) (SQ (VBZ is) (RS (-DFL- \])) (NP-SBJ (PRP yours)) (VP (VBG blooming) (NP (-NONE- *T*-1)))) (. ?) (-DFL- E_S)))","monomorphemic","no"
"89","83886:6","and what does the foliage look like *t*-1?","no","yes","no","root","no","yes","","","","","","what","","","","","","","","does","look","","the foliage","","","yes","no",NA,"(WP what)","and what does the foliage look like *t*-1?","(TOP (SBARQ (CC And) (WHNP-1 (WP what)) (SQ (VBZ does) (NP-SBJ (DT the) (NN foliage)) (VP (VB look) (PP (IN like) (NP (-NONE- *T*-1))))) (. ?) (-DFL- E_S)))","monomorphemic","no"
